pose_index,pose_read_status,docking_score,population_state,molecule_id,crossdock_arm
123,valid,-14.2285,PPS,304_29-1,L_PPS_to_R_PR
124,valid,-14.2256,PPS,264_22-4,L_PPS_to_R_PR
125,valid,-14.2247,PPS,316_3-6,L_PPS_to_R_PR
126,valid,-14.2244,PPS,187_61-3,L_PPS_to_R_PR
127,valid,-14.2229,PPS,297_3-1,L_PPS_to_R_PR
128,valid,-14.2228,PPS,236_29-2,L_PPS_to_R_PR
129,valid,-14.2228,PPS,116_17-1,L_PPS_to_R_PR
130,valid,-14.2197,PPS,230_6-1,L_PPS_to_R_PR
131,valid,-14.2179,PPS,229_48-7,L_PPS_to_R_PR
132,valid,-14.2169,PPS,321_46-3,L_PPS_to_R_PR
133,valid,-14.216,PPS,250_5-7,L_PPS_to_R_PR
134,valid,-14.2132,PPS,353_47-8,L_PPS_to_R_PR
135,valid,-14.213,PPS,354_42-1,L_PPS_to_R_PR
136,valid,-14.2027,PPS,243_19-4,L_PPS_to_R_PR
137,valid,-14.2024,PPS,312_13-1,L_PPS_to_R_PR
138,valid,-14.1993,PPS,345_35-1,L_PPS_to_R_PR
139,valid,-14.1942,PPS,235_40-1,L_PPS_to_R_PR
140,valid,-14.1926,PPS,270_33-4,L_PPS_to_R_PR
141,valid,-14.1906,PPS,330_56-7,L_PPS_to_R_PR
142,valid,-14.1895,PPS,248_54-1,L_PPS_to_R_PR
143,valid,-14.1877,PPS,249_36-2,L_PPS_to_R_PR
144,valid,-14.1869,PPS,300_24-1,L_PPS_to_R_PR
145,valid,-14.1868,PPS,179_32-8,L_PPS_to_R_PR
146,valid,-14.1864,PPS,322_29-1,L_PPS_to_R_PR
147,valid,-14.1863,PPS,171_53-3,L_PPS_to_R_PR
148,valid,-14.1861,PPS,288_45-3,L_PPS_to_R_PR
149,valid,-14.1819,PPS,343_36-3,L_PPS_to_R_PR
150,valid,-14.1819,PPS,203_9-1,L_PPS_to_R_PR
151,valid,-14.18,PPS,249_49-2,L_PPS_to_R_PR
152,valid,-14.1733,PPS,339_57-1,L_PPS_to_R_PR
153,valid,-14.1728,PPS,338_32-4,L_PPS_to_R_PR
154,valid,-14.1719,PPS,300_26-1,L_PPS_to_R_PR
155,valid,-14.1717,PPS,349_8-1,L_PPS_to_R_PR
156,valid,-14.1687,PPS,263_57-2,L_PPS_to_R_PR
157,valid,-14.1682,PPS,197_29-3,L_PPS_to_R_PR
158,valid,-14.1634,PPS,317_61-1,L_PPS_to_R_PR
159,valid,-14.162,PPS,218_49-3,L_PPS_to_R_PR
160,valid,-14.161,PPS,287_59-3,L_PPS_to_R_PR
161,valid,-14.1608,PPS,210_58-6,L_PPS_to_R_PR
162,valid,-14.1595,PPS,289_22-1,L_PPS_to_R_PR
163,valid,-14.1577,PPS,322_42-2,L_PPS_to_R_PR
164,valid,-14.1576,PPS,322_2-1,L_PPS_to_R_PR
165,valid,-14.1542,PPS,254_10-4,L_PPS_to_R_PR
166,valid,-14.1538,PPS,267_12-6,L_PPS_to_R_PR
167,valid,-14.1537,PPS,347_8-1,L_PPS_to_R_PR
168,valid,-14.1527,PPS,353_44-1,L_PPS_to_R_PR
169,valid,-14.1519,PPS,339_60-1,L_PPS_to_R_PR
170,valid,-14.1513,PPS,246_23-2,L_PPS_to_R_PR
171,valid,-14.1487,PPS,278_52-1,L_PPS_to_R_PR
172,valid,-14.148,PPS,238_14-4,L_PPS_to_R_PR
173,valid,-14.1458,PPS,316_6-1,L_PPS_to_R_PR
174,valid,-14.1433,PPS,299_14-1,L_PPS_to_R_PR
175,valid,-14.1384,PPS,316_49-3,L_PPS_to_R_PR
176,valid,-14.1316,PPS,293_32-5,L_PPS_to_R_PR
177,valid,-14.1308,PPS,179_47-1,L_PPS_to_R_PR
178,valid,-14.1304,PPS,350_63-2,L_PPS_to_R_PR
179,valid,-14.1292,PPS,344_32-3,L_PPS_to_R_PR
180,valid,-14.1288,PPS,252_52-1,L_PPS_to_R_PR
181,valid,-14.1264,PPS,254_32-3,L_PPS_to_R_PR
182,valid,-14.1256,PPS,299_50-1,L_PPS_to_R_PR
183,valid,-14.1226,PPS,332_59-6,L_PPS_to_R_PR
184,valid,-14.1186,PPS,348_59-1,L_PPS_to_R_PR
185,valid,-14.1185,PPS,267_58-2,L_PPS_to_R_PR
186,valid,-14.1154,PPS,238_48-7,L_PPS_to_R_PR
187,valid,-14.1133,PPS,167_30-1,L_PPS_to_R_PR
188,valid,-14.1114,PPS,345_25-2,L_PPS_to_R_PR
189,valid,-14.111,PPS,197_8-4,L_PPS_to_R_PR
190,valid,-14.11,PPS,292_17-1,L_PPS_to_R_PR
191,valid,-14.11,PPS,333_41-13,L_PPS_to_R_PR
192,valid,-14.1099,PPS,228_62-1,L_PPS_to_R_PR
193,valid,-14.1098,PPS,256_57-1,L_PPS_to_R_PR
194,valid,-14.1097,PPS,249_41-7,L_PPS_to_R_PR
195,valid,-14.1083,PPS,285_29-2,L_PPS_to_R_PR
196,valid,-14.1076,PPS,285_25-6,L_PPS_to_R_PR
197,valid,-14.1071,PPS,189_27-3,L_PPS_to_R_PR
198,valid,-14.1031,PPS,321_59-1,L_PPS_to_R_PR
199,valid,-14.1021,PPS,240_63-1,L_PPS_to_R_PR
200,valid,-14.1,PPS,285_53-6,L_PPS_to_R_PR
201,valid,-14.0974,PPS,320_17-3,L_PPS_to_R_PR
202,valid,-14.0968,PPS,284_22-2,L_PPS_to_R_PR
203,valid,-14.0872,PPS,354_24-1,L_PPS_to_R_PR
204,valid,-14.087,PPS,263_47-2,L_PPS_to_R_PR
0,valid,-12.1111,PR,248_35-2,L_PR_to_R_PPS
1,valid,-12.1023,PR,287_14-1,L_PR_to_R_PPS
2,valid,-11.9179,PR,196_17-5,L_PR_to_R_PPS
3,valid,-11.8393,PR,340_36-1,L_PR_to_R_PPS
4,valid,-11.6497,PR,347_40-4,L_PR_to_R_PPS
5,valid,-11.5797,PR,284_8-2,L_PR_to_R_PPS
6,valid,-11.5646,PR,291_3-2,L_PR_to_R_PPS
7,valid,-11.5319,PR,237_61-6,L_PR_to_R_PPS
8,valid,-11.5304,PR,261_48-6,L_PR_to_R_PPS
9,valid,-11.53,PR,290_10-7,L_PR_to_R_PPS
10,valid,-11.5092,PR,284_41-3,L_PR_to_R_PPS
11,valid,-11.5039,PR,317_25-1,L_PR_to_R_PPS
12,valid,-11.4664,PR,314_33-3,L_PR_to_R_PPS
13,valid,-11.4635,PR,277_23-1,L_PR_to_R_PPS
14,valid,-11.4541,PR,261_25-1,L_PR_to_R_PPS
15,valid,-11.4221,PR,275_49-2,L_PR_to_R_PPS
16,valid,-11.4117,PR,355_30-4,L_PR_to_R_PPS
17,valid,-11.4108,PR,338_17-1,L_PR_to_R_PPS
18,valid,-11.3963,PR,322_49-3,L_PR_to_R_PPS
19,valid,-11.3913,PR,348_13-4,L_PR_to_R_PPS
20,valid,-11.3845,PR,279_55-1,L_PR_to_R_PPS
21,valid,-11.3618,PR,320_28-3,L_PR_to_R_PPS
22,valid,-11.3566,PR,329_22-8,L_PR_to_R_PPS
23,valid,-11.3543,PR,316_19-4,L_PR_to_R_PPS
24,valid,-11.3489,PR,261_4-5,L_PR_to_R_PPS
25,valid,-11.3341,PR,315_53-3,L_PR_to_R_PPS
26,valid,-11.3263,PR,271_22-1,L_PR_to_R_PPS
27,valid,-11.3124,PR,268_20-4,L_PR_to_R_PPS
28,valid,-11.2972,PR,268_61-1,L_PR_to_R_PPS
29,valid,-11.286,PR,332_55-4,L_PR_to_R_PPS
30,valid,-11.2769,PR,234_7-8,L_PR_to_R_PPS
31,valid,-11.2724,PR,280_0-7,L_PR_to_R_PPS
32,valid,-11.2536,PR,164_32-1,L_PR_to_R_PPS
33,valid,-11.229,PR,293_33-2,L_PR_to_R_PPS
34,valid,-11.2254,PR,172_16-6,L_PR_to_R_PPS
35,valid,-11.2233,PR,327_61-4,L_PR_to_R_PPS
36,valid,-11.2228,PR,276_12-3,L_PR_to_R_PPS
37,valid,-11.2192,PR,324_4-1,L_PR_to_R_PPS
38,valid,-11.2183,PR,229_61-7,L_PR_to_R_PPS
39,valid,-11.2154,PR,305_37-1,L_PR_to_R_PPS
40,valid,-11.1765,PR,205_25-7,L_PR_to_R_PPS
41,valid,-11.1686,PR,275_62-3,L_PR_to_R_PPS
42,valid,-11.1635,PR,314_30-3,L_PR_to_R_PPS
43,valid,-11.1617,PR,183_50-1,L_PR_to_R_PPS
44,valid,-11.1495,PR,291_24-5,L_PR_to_R_PPS
45,valid,-11.1458,PR,118_33-14,L_PR_to_R_PPS
46,valid,-11.1427,PR,285_51-4,L_PR_to_R_PPS
47,valid,-11.1426,PR,248_3-1,L_PR_to_R_PPS
48,valid,-11.1411,PR,275_47-1,L_PR_to_R_PPS
49,valid,-11.1409,PR,197_27-2,L_PR_to_R_PPS
50,valid,-11.1338,PR,296_15-8,L_PR_to_R_PPS
51,valid,-11.1332,PR,315_9-5,L_PR_to_R_PPS
52,valid,-11.1283,PR,299_39-4,L_PR_to_R_PPS
53,valid,-11.1237,PR,291_29-3,L_PR_to_R_PPS
54,valid,-11.1208,PR,336_20-1,L_PR_to_R_PPS
55,valid,-11.1185,PR,273_33-3,L_PR_to_R_PPS
56,valid,-11.1182,PR,342_50-7,L_PR_to_R_PPS
57,valid,-11.1162,PR,280_48-6,L_PR_to_R_PPS
58,valid,-11.1115,PR,172_42-7,L_PR_to_R_PPS
59,valid,-11.1108,PR,324_3-3,L_PR_to_R_PPS
60,valid,-11.1079,PR,177_3-7,L_PR_to_R_PPS
61,valid,-11.103,PR,196_11-3,L_PR_to_R_PPS
62,valid,-11.1005,PR,324_56-3,L_PR_to_R_PPS
63,valid,-11.0965,PR,125_31-1,L_PR_to_R_PPS
64,valid,-11.0932,PR,270_27-4,L_PR_to_R_PPS
65,valid,-11.084,PR,231_3-1,L_PR_to_R_PPS
66,valid,-11.0831,PR,344_22-1,L_PR_to_R_PPS
67,valid,-11.0809,PR,205_58-3,L_PR_to_R_PPS
68,valid,-11.0782,PR,207_16-6,L_PR_to_R_PPS
69,valid,-11.0731,PR,230_61-4,L_PR_to_R_PPS
70,valid,-11.0711,PR,174_14-1,L_PR_to_R_PPS
71,valid,-11.0675,PR,306_1-8,L_PR_to_R_PPS
72,valid,-11.0601,PR,355_3-1,L_PR_to_R_PPS
73,valid,-11.0566,PR,235_27-6,L_PR_to_R_PPS
74,valid,-11.0561,PR,113_22-3,L_PR_to_R_PPS
75,valid,-11.0503,PR,306_62-7,L_PR_to_R_PPS
76,valid,-11.0502,PR,345_29-1,L_PR_to_R_PPS
77,valid,-11.0456,PR,276_53-1,L_PR_to_R_PPS
78,valid,-11.0446,PR,289_9-4,L_PR_to_R_PPS
79,valid,-11.036,PR,354_53-1,L_PR_to_R_PPS
80,valid,-11.0353,PR,224_41-1,L_PR_to_R_PPS
81,valid,-11.0288,PR,321_11-1,L_PR_to_R_PPS
82,valid,-11.0278,PR,314_11-1,L_PR_to_R_PPS
83,valid,-11.0269,PR,287_45-1,L_PR_to_R_PPS
84,valid,-11.0194,PR,282_24-1,L_PR_to_R_PPS
85,valid,-11.0184,PR,274_35-5,L_PR_to_R_PPS
86,valid,-11.0157,PR,196_54-1,L_PR_to_R_PPS
87,valid,-11.0143,PR,348_37-4,L_PR_to_R_PPS
88,valid,-11.0117,PR,345_9-1,L_PR_to_R_PPS
89,valid,-11.0101,PR,299_34-1,L_PR_to_R_PPS
90,valid,-11.0096,PR,260_12-5,L_PR_to_R_PPS
91,valid,-11.007,PR,105_7-6,L_PR_to_R_PPS
92,valid,-11.0046,PR,226_16-1,L_PR_to_R_PPS
93,valid,-10.9994,PR,236_16-6,L_PR_to_R_PPS
94,valid,-10.999,PR,296_21-1,L_PR_to_R_PPS
95,valid,-10.9976,PR,355_59-1,L_PR_to_R_PPS
96,valid,-10.9954,PR,126_5-7,L_PR_to_R_PPS
97,valid,-10.995,PR,321_58-7,L_PR_to_R_PPS
98,valid,-10.9935,PR,230_46-5,L_PR_to_R_PPS
99,valid,-10.9928,PR,321_22-1,L_PR_to_R_PPS
100,valid,-10.9914,PR,271_44-5,L_PR_to_R_PPS
101,valid,-10.9903,PR,334_51-8,L_PR_to_R_PPS
102,valid,-10.9897,PR,333_50-6,L_PR_to_R_PPS
103,valid,-10.9853,PR,175_23-7,L_PR_to_R_PPS
104,valid,-10.9806,PR,219_56-8,L_PR_to_R_PPS
105,valid,-10.9799,PR,277_25-5,L_PR_to_R_PPS
106,valid,-10.9795,PR,318_48-3,L_PR_to_R_PPS
107,valid,-10.977,PR,194_0-6,L_PR_to_R_PPS
108,valid,-10.9737,PR,298_60-3,L_PR_to_R_PPS
109,valid,-10.9694,PR,222_43-5,L_PR_to_R_PPS
110,valid,-10.9631,PR,342_15-3,L_PR_to_R_PPS
111,valid,-10.9599,PR,354_37-1,L_PR_to_R_PPS
112,valid,-10.9597,PR,341_63-4,L_PR_to_R_PPS
113,valid,-10.9584,PR,290_31-5,L_PR_to_R_PPS
114,valid,-10.9572,PR,202_46-7,L_PR_to_R_PPS
115,valid,-10.9525,PR,297_35-1,L_PR_to_R_PPS
116,valid,-10.9525,PR,239_63-5,L_PR_to_R_PPS
117,valid,-10.9523,PR,329_43-4,L_PR_to_R_PPS
118,valid,-10.9483,PR,283_25-7,L_PR_to_R_PPS
119,valid,-10.9469,PR,161_13-2,L_PR_to_R_PPS
120,valid,-10.9467,PR,179_44-6,L_PR_to_R_PPS
121,valid,-10.9467,PR,249_2-7,L_PR_to_R_PPS
122,valid,-10.9391,PR,342_51-1,L_PR_to_R_PPS
123,valid,-10.9326,PR,351_34-1,L_PR_to_R_PPS
124,valid,-10.9285,PR,260_16-1,L_PR_to_R_PPS
125,valid,-10.9237,PR,223_2-5,L_PR_to_R_PPS
126,valid,-10.9208,PR,348_18-4,L_PR_to_R_PPS
127,valid,-10.9164,PR,330_40-1,L_PR_to_R_PPS
128,valid,-10.9154,PR,290_43-1,L_PR_to_R_PPS
129,valid,-10.9102,PR,310_53-4,L_PR_to_R_PPS
130,valid,-10.9091,PR,275_26-2,L_PR_to_R_PPS
131,valid,-10.9052,PR,339_43-3,L_PR_to_R_PPS
132,valid,-10.8965,PR,205_34-5,L_PR_to_R_PPS
133,valid,-10.8848,PR,307_0-3,L_PR_to_R_PPS
134,valid,-10.8826,PR,196_12-4,L_PR_to_R_PPS
135,valid,-10.8824,PR,299_45-3,L_PR_to_R_PPS
136,valid,-10.8716,PR,213_60-2,L_PR_to_R_PPS
137,valid,-10.87,PR,233_61-8,L_PR_to_R_PPS
138,valid,-10.8683,PR,206_57-8,L_PR_to_R_PPS
139,valid,-10.8585,PR,273_37-3,L_PR_to_R_PPS
140,valid,-10.8563,PR,354_46-1,L_PR_to_R_PPS
141,valid,-10.8535,PR,291_31-4,L_PR_to_R_PPS
142,valid,-10.8532,PR,311_46-3,L_PR_to_R_PPS
143,valid,-10.8523,PR,235_52-8,L_PR_to_R_PPS
144,valid,-10.8483,PR,232_0-4,L_PR_to_R_PPS
145,valid,-10.8477,PR,355_24-4,L_PR_to_R_PPS
146,valid,-10.8472,PR,253_28-4,L_PR_to_R_PPS
147,valid,-10.8431,PR,333_30-5,L_PR_to_R_PPS
148,valid,-10.8424,PR,253_61-8,L_PR_to_R_PPS
149,valid,-10.8423,PR,280_21-4,L_PR_to_R_PPS
150,valid,-10.8404,PR,344_32-1,L_PR_to_R_PPS
151,valid,-10.8316,PR,352_8-4,L_PR_to_R_PPS
152,valid,-10.8306,PR,276_51-7,L_PR_to_R_PPS
153,valid,-10.8292,PR,271_7-7,L_PR_to_R_PPS
154,valid,-10.8234,PR,297_25-1,L_PR_to_R_PPS
155,valid,-10.8186,PR,265_45-1,L_PR_to_R_PPS
156,valid,-10.8174,PR,353_54-4,L_PR_to_R_PPS
157,valid,-10.8172,PR,253_40-7,L_PR_to_R_PPS
158,valid,-10.8134,PR,305_26-7,L_PR_to_R_PPS
159,valid,-10.8131,PR,280_58-1,L_PR_to_R_PPS
160,valid,-10.8008,PR,276_62-7,L_PR_to_R_PPS
161,valid,-10.7958,PR,195_53-2,L_PR_to_R_PPS
162,valid,-10.7948,PR,295_56-7,L_PR_to_R_PPS
163,valid,-10.7916,PR,324_9-3,L_PR_to_R_PPS
164,valid,-10.7912,PR,309_33-11,L_PR_to_R_PPS
165,valid,-10.7911,PR,311_2-7,L_PR_to_R_PPS
166,valid,-10.7871,PR,251_32-1,L_PR_to_R_PPS
167,valid,-10.786,PR,323_34-2,L_PR_to_R_PPS
168,valid,-10.7846,PR,356_40-1,L_PR_to_R_PPS
169,valid,-10.7839,PR,291_43-8,L_PR_to_R_PPS
170,valid,-10.7737,PR,228_9-6,L_PR_to_R_PPS
171,valid,-10.7728,PR,305_19-1,L_PR_to_R_PPS
172,valid,-10.7716,PR,341_28-12,L_PR_to_R_PPS
173,valid,-10.7681,PR,173_33-7,L_PR_to_R_PPS
174,valid,-10.768,PR,178_12-1,L_PR_to_R_PPS
175,valid,-10.7679,PR,274_15-3,L_PR_to_R_PPS
176,valid,-10.7626,PR,280_49-1,L_PR_to_R_PPS
177,valid,-10.7592,PR,229_14-9,L_PR_to_R_PPS
178,valid,-10.7585,PR,306_46-5,L_PR_to_R_PPS
179,valid,-10.752,PR,322_25-1,L_PR_to_R_PPS
180,valid,-10.75,PR,312_57-1,L_PR_to_R_PPS
181,valid,-10.7451,PR,321_13-1,L_PR_to_R_PPS
182,valid,-10.7451,PR,316_21-7,L_PR_to_R_PPS
183,valid,-10.7427,PR,240_25-2,L_PR_to_R_PPS
184,valid,-10.742,PR,325_7-5,L_PR_to_R_PPS
185,valid,-10.7384,PR,206_35-8,L_PR_to_R_PPS
186,valid,-10.7371,PR,297_46-13,L_PR_to_R_PPS
187,valid,-10.7328,PR,334_27-7,L_PR_to_R_PPS
188,valid,-10.732,PR,330_44-6,L_PR_to_R_PPS
189,valid,-10.7318,PR,257_57-5,L_PR_to_R_PPS
190,valid,-10.7311,PR,261_6-4,L_PR_to_R_PPS
191,valid,-10.731,PR,328_6-12,L_PR_to_R_PPS
192,valid,-10.7265,PR,341_15-3,L_PR_to_R_PPS
193,valid,-10.7263,PR,173_3-7,L_PR_to_R_PPS
194,valid,-10.7246,PR,103_28-6,L_PR_to_R_PPS
195,valid,-10.7242,PR,132_45-9,L_PR_to_R_PPS
196,valid,-10.7229,PR,322_46-1,L_PR_to_R_PPS
